NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,75.687805,sanaz,"April 28, 2021 at 08:55PM"
temperatureF,76.578804,sanaz,"April 28, 2021 at 08:56PM"
temperatureF,73.787003,sanaz,"April 28, 2021 at 08:57PM"
temperatureF,72.836601,sanaz,"April 28, 2021 at 08:58PM"
temperatureF,73.5494,sanaz,"April 28, 2021 at 08:59PM"
temperatureF,74.678001,sanaz,"April 28, 2021 at 09:00PM"
temperatureF,76.578804,sanaz,"April 28, 2021 at 09:01PM"
temperatureF,74.084,sanaz,"April 28, 2021 at 09:02PM"
temperatureF,73.9058,sanaz,"April 28, 2021 at 09:03PM"
temperatureF,74.024597,sanaz,"April 28, 2021 at 09:04PM"
temperatureF,74.737396,sanaz,"April 28, 2021 at 09:05PM"
temperatureF,75.331398,sanaz,"April 28, 2021 at 09:06PM"
temperatureF,74.024597,sanaz,"April 28, 2021 at 09:07PM"
temperatureF,75.272003,sanaz,"April 28, 2021 at 09:08PM"
temperatureF,75.034401,sanaz,"April 28, 2021 at 09:09PM"
temperatureF,75.331398,sanaz,"April 28, 2021 at 09:10PM"
temperatureF,73.489998,sanaz,"April 28, 2021 at 09:11PM"
temperatureF,72.895996,sanaz,"April 28, 2021 at 09:12PM"
temperatureF,72.836601,sanaz,"April 28, 2021 at 09:13PM"
temperatureF,73.5494,sanaz,"April 28, 2021 at 09:14PM"
temperatureF,73.430603,sanaz,"April 28, 2021 at 09:15PM"
temperatureF,74.974998,sanaz,"April 28, 2021 at 09:16PM"
temperatureF,73.608803,sanaz,"April 28, 2021 at 09:17PM"
temperatureF,73.074196,sanaz,"April 28, 2021 at 09:18PM"
temperatureF,73.311798,sanaz,"April 28, 2021 at 09:19PM"
temperatureF,74.143402,sanaz,"April 28, 2021 at 09:20PM"
temperatureF,75.569,sanaz,"April 28, 2021 at 09:21PM"
temperatureF,74.024597,sanaz,"April 28, 2021 at 09:22PM"
temperatureF,74.559196,sanaz,"April 28, 2021 at 09:23PM"
temperatureF,75.3908,sanaz,"April 28, 2021 at 09:24PM"
temperatureF,73.489998,sanaz,"April 28, 2021 at 09:25PM"
temperatureF,75.331398,sanaz,"April 28, 2021 at 09:26PM"
temperatureF,75.3908,sanaz,"April 28, 2021 at 09:27PM"
temperatureF,75.569,sanaz,"April 28, 2021 at 09:28PM"
temperatureF,75.450203,sanaz,"April 28, 2021 at 09:29PM"
temperatureF,73.371201,sanaz,"April 28, 2021 at 09:30PM"
temperatureF,75.3908,sanaz,"April 28, 2021 at 09:31PM"
temperatureF,73.846405,sanaz,"April 28, 2021 at 09:32PM"
temperatureF,73.7276,sanaz,"April 28, 2021 at 09:33PM"
temperatureF,75.509598,sanaz,"April 28, 2021 at 09:34PM"
temperatureF,73.608803,sanaz,"April 28, 2021 at 09:35PM"
temperatureF,76.697601,sanaz,"April 28, 2021 at 09:36PM"
temperatureF,72.836601,sanaz,"April 28, 2021 at 09:37PM"
temperatureF,75.628403,sanaz,"April 28, 2021 at 09:38PM"
temperatureF,74.856194,sanaz,"April 28, 2021 at 09:39PM"
temperatureF,73.489998,sanaz,"April 28, 2021 at 09:40PM"
temperatureF,75.806602,sanaz,"April 28, 2021 at 09:41PM"
temperatureF,75.7472,sanaz,"April 28, 2021 at 09:42PM"
temperatureF,75.272003,sanaz,"April 28, 2021 at 09:43PM"
temperatureF,75.450203,sanaz,"April 28, 2021 at 09:44PM"
